variable,season,n,mean,sd,median,min,max
AIS-derived recreational vessel density (hours km^-2 month^-1),Winter,143237,0.4622363113260674,27.235915400601186,0.001298759468357084,0,4095.126355450032
AIS-derived recreational vessel density (hours km^-2 month^-1),Summer,143237,1.3340162798967055,35.67281193435783,0.04047633327805098,0,6423.686059445014
Mean water depth (m),All grid cells,142618,248.3013445182089,346.31170757941675,97.66666666666667,1,1235.083333333333
Natura 2000 share,All grid cells,143454,0.08659973456580372,0.2728667233665832,0,0,1.008913398307429
"Composite Exposure Index (CEI; 50/50, 20/60 m)",Winter,143454,0.022518572717635892,0.09510815466240771,0,0,0.8324823383504849
"Composite Exposure Index (CEI; 50/50, 20/60 m)",Summer,143454,0.025176433485970266,0.10394502627683239,0,0,0.8813796759924473
