season,depth_thresholds_m,weighting_scenario,exposure_class,natura_area_m2,number_of_grid_cells,mean_traffic,mean_depth_m,mean_natura_share,total_natura_area_m2,natura_area_percent
winter,10/50,30_70,No exposure,113451534.64298502,128434,0.3528368828472003,271.8733655234587,0.0024489056811785926,10359878720.00407,1.0951048531477445
winter,10/50,30_70,Low,4385743569.731347,5311,0.014845077153277824,89.45179985359965,0.8516490025753494,10359878720.00407,42.333927725069195
winter,10/50,30_70,Moderate,778071786.9968015,2185,0.7881263926277208,36.1184261835417,0.3893013083005437,10359878720.00407,7.510433355695652
winter,10/50,30_70,High,2744299129.0775642,3852,3.9359180471568207,24.705555562193794,0.8106544081852493,10359878720.00407,26.489683935957174
winter,10/50,30_70,Critical,2338312699.5553737,3672,1.1171139983125717,9.50581578337598,0.9837101248644781,10359878720.00407,22.57085013013024
summer,10/50,30_70,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,10/50,30_70,Low,1545322062.4201214,2280,0.8947660287646478,97.14807273143332,0.7200667585685712,10359878720.00407,14.91641074365313
summer,10/50,30_70,Moderate,3654788579.128337,5406,2.2011965401481723,65.12772289004552,0.7230178070788416,10359878720.00407,35.27829502551263
summer,10/50,30_70,High,2645274930.8093605,3738,6.958122405680911,25.412043643141075,0.7998164803921213,10359878720.00407,25.533840716702144
summer,10/50,30_70,Critical,2510778079.327831,3919,10.161169871332005,10.154369865721993,0.98100840511362,10359878720.00407,24.235593361529663
winter,10/50,50_50,No exposure,113451534.64298502,128434,0.3528368828472003,271.8733655234587,0.0024489056811785926,10359878720.00407,1.0951048531477445
winter,10/50,50_50,Low,4350617516.514238,5378,0.0173727324388153,88.06491788006694,0.8345364555379733,10359878720.00407,41.99486918812626
winter,10/50,50_50,Moderate,861694430.3575941,2226,0.7239667430521015,37.25658950841787,0.41871005840267683,10359878720.00407,8.317611177182348
winter,10/50,50_50,High,2797789266.648527,3862,0.46484395113875254,24.423541783757834,0.8259103616471136,10359878720.00407,27.006004049509066
winter,10/50,50_50,Critical,2236325971.8407264,3554,5.079108203519281,9.266678091036118,0.9844412227286382,10359878720.00407,21.58641073203459
summer,10/50,50_50,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,10/50,50_50,Low,1397428582.5018961,2213,1.2063202976613907,93.08864137228596,0.6739480157122257,10359878720.00407,13.488850789378228
summer,10/50,50_50,Moderate,3725966981.3911343,5365,1.7733380532593317,66.95776816860425,0.7314589316135064,10359878720.00407,35.96535328349549
summer,10/50,50_50,High,2645585629.762216,3728,3.582982427721362,26.255595218100844,0.8096024715080871,10359878720.00407,25.536839776452293
summer,10/50,50_50,Critical,2587182458.030403,4037,13.535939090992041,10.601321974675145,0.9786351937802377,10359878720.00407,24.973095998071557
winter,10/50,70_30,No exposure,113451534.64298502,128434,0.3528368828472003,271.8733655234587,0.0024489056811785926,10359878720.00407,1.0951048531477445
winter,10/50,70_30,Low,4294937763.797707,5479,0.019068419717172564,85.872998417059,0.8087791144714838,10359878720.00407,41.457413545822085
winter,10/50,70_30,Moderate,1084039223.321437,2445,0.6537457657016338,38.71063375617836,0.4802788686880061,10359878720.00407,10.463821562198858
winter,10/50,70_30,High,2858021224.038449,3817,0.18862092892472615,23.557996544917543,0.8569900831623687,10359878720.00407,27.587400405758093
winter,10/50,70_30,Critical,2009428974.2034929,3279,5.86302520127013,8.614375332644816,0.9856181215566076,10359878720.00407,19.396259633073225
summer,10/50,70_30,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,10/50,70_30,Low,1203358366.8583083,2112,1.3058568409472335,87.67316072909921,0.6127054295305967,10359878720.00407,11.615564229866154
summer,10/50,70_30,Moderate,3569454629.188416,5146,1.443881900909255,68.2322995664247,0.725783394347248,10359878720.00407,34.4545986073765
summer,10/50,70_30,High,2821215359.228218,3773,2.4477811913214014,31.006604530774236,0.8381523731209417,10359878720.00407,27.232127281381043
summer,10/50,70_30,Critical,2762135296.4107065,4312,14.107561653373473,11.674554469063613,0.9724972865690432,10359878720.00407,26.661849728773866
winter,20/50,30_70,No exposure,113451534.64298502,128434,0.3528368828472003,271.8733655234587,0.0024489056811785926,10359878720.00407,1.0951048531477445
winter,20/50,30_70,Low,4391833657.594003,5297,0.014888623727374066,89.71535583247856,0.8550484780933655,10359878720.00407,42.392713045122186
winter,20/50,30_70,Moderate,738632471.8733853,2176,0.9303297494288056,35.26817580316602,0.37308916854624147,10359878720.00407,7.129740529173831
winter,20/50,30_70,High,2659037458.287268,3850,4.031242331554921,24.26204276401313,0.8028838330012612,10359878720.00407,25.66668520117795
winter,20/50,30_70,Critical,2456923597.6064296,3697,0.924255434398823,10.471610862301514,0.9944330521704836,10359878720.00407,23.715756371378294
summer,20/50,30_70,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,20/50,30_70,Low,1574255935.2882886,2294,0.8806373655563484,97.77178019227306,0.7282828060754644,10359878720.00407,15.195698500297405
summer,20/50,30_70,Moderate,3611861360.3928685,5415,2.4905232737474488,64.51515787397175,0.7169057432516684,10359878720.00407,34.86393478157869
summer,20/50,30_70,High,2577381988.064875,3740,6.974968939292212,24.807903182959578,0.7937220814453637,10359878720.00407,24.878495759686487
summer,20/50,30_70,Critical,2592664367.9396167,3894,9.79277042574595,10.91655370078378,0.9921485558551685,10359878720.00407,25.026010805834975
winter,20/50,50_50,No exposure,113451534.64298502,128434,0.3528368828472003,271.8733655234587,0.0024489056811785926,10359878720.00407,1.0951048531477445
winter,20/50,50_50,Low,4359841751.5262575,5364,0.01738518708437636,88.34379556083346,0.8384306432583615,10359878720.00407,42.08390724794647
winter,20/50,50_50,Moderate,814388429.7546471,2200,0.7792472376133127,36.53128659808362,0.4016777364158433,10359878720.00407,7.860984204208204
winter,20/50,50_50,High,2695109137.738256,3863,2.830688702707118,23.981961252814628,0.8160436529895728,10359878720.00407,26.014871511325925
winter,20/50,50_50,Critical,2377087866.3419256,3593,2.3585403072995748,10.279514136250155,0.9950308789576638,10359878720.00407,22.94513218337166
summer,20/50,50_50,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,20/50,50_50,Low,1432419477.4714916,2227,1.1445750241104145,94.0114862309154,0.6854190615323297,10359878720.00407,13.826604694759679
summer,20/50,50_50,Moderate,3708332891.740871,5391,1.857397873561596,66.40556897013415,0.7281567001175183,10359878720.00407,35.79513807029793
summer,20/50,50_50,High,2555310253.243941,3727,6.530813972542633,25.341201234307547,0.7987404715420594,10359878720.00407,24.665445632194977
summer,20/50,50_50,Critical,2660101029.2293463,3998,10.740157273868002,11.217016259024682,0.9894561431083769,10359878720.00407,25.67695145014498
winter,20/50,70_30,No exposure,113451534.64298502,128434,0.3528368828472003,271.8733655234587,0.0024489056811785926,10359878720.00407,1.0951048531477445
winter,20/50,70_30,Low,4305588608.299188,5442,0.019134971446228614,86.48038830316362,0.8161338072147396,10359878720.00407,41.56022212871519
winter,20/50,70_30,Moderate,987401094.0550154,2366,0.6754019844599799,38.040283973622145,0.4518803565837519,10359878720.00407,9.531010166638586
winter,20/50,70_30,High,2737318158.655912,3857,0.29904792480971026,23.13098919633901,0.844510043860385,10359878720.00407,26.42229926273535
winter,20/50,70_30,Critical,2216119324.3509717,3355,5.583105755234525,10.001431472340032,0.9957470129469559,10359878720.00407,21.39136358876314
summer,20/50,70_30,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,20/50,70_30,Low,1250373068.9490087,2149,1.283423338896477,88.54627823938401,0.6244154869185593,10359878720.00407,12.069379408222622
summer,20/50,70_30,Moderate,3628056777.57622,5225,1.6051649705383562,67.93384257338545,0.7275392655214965,10359878720.00407,35.02026303233398
summer,20/50,70_30,High,2650778251.611959,3733,2.8983270159183836,28.717985352938037,0.8234877084115573,10359878720.00407,25.586962195740043
summer,20/50,70_30,Critical,2826955553.5484614,4236,13.737342047686052,12.189403468382812,0.9837892489878279,10359878720.00407,27.287535211100913
winter,20/60,30_70,No exposure,104305783.65235786,128421,0.3528726262506431,271.89536975709484,0.002373325551476366,10359878720.00407,1.0068243699702006
winter,20/60,30_70,Low,4134704659.3585486,4946,0.018219211176778268,93.2333346847022,0.8625551831467339,10359878720.00407,39.910743852384826
winter,20/60,30_70,Moderate,838836273.2911516,2547,0.8997896810175181,33.68456943617116,0.36313377351235887,10359878720.00407,8.096970012510166
winter,20/60,30_70,High,2819027083.689416,3859,3.965535988615383,25.79615194204864,0.8454104971316799,10359878720.00407,27.211004683347376
winter,20/60,30_70,Critical,2463004920.012597,3681,0.9111647041882188,10.582444671780726,0.9955867200070037,10359878720.00407,23.774457081787435
summer,20/60,30_70,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,20/60,30_70,Low,1940728754.6016412,2648,0.9646757309740994,99.90485545479692,0.7706062542903145,10359878720.00407,18.73312233717808
summer,20/60,30_70,Moderate,3053341775.368746,5047,2.9480870085826227,59.61315538277988,0.6598732455939651,10359878720.00407,29.47275598384173
summer,20/60,30_70,High,2741124298.7702756,3735,6.545524970848188,26.670164214473992,0.8373728872771966,10359878720.00407,26.459038497018224
summer,20/60,30_70,Critical,2620968822.944987,3913,9.667744612678229,11.096027469101672,0.9931354592631643,10359878720.00407,25.299223029359528
winter,20/60,50_50,No exposure,104305783.65235786,128421,0.3528726262506431,271.89536975709484,0.002373325551476366,10359878720.00407,1.0068243699702006
winter,20/60,50_50,Low,4114686248.1267853,5031,0.018255885828705954,91.605396308127,0.8437619806182604,10359878720.00407,39.71751368268111
winter,20/60,50_50,Moderate,914635866.0910012,2544,0.749787563501095,34.837827795301955,0.39345686198638913,10359878720.00407,8.828634878948098
winter,20/60,50_50,High,2867642483.9643607,3911,1.186132828465149,25.285679495693774,0.8539598528996347,10359878720.00407,27.68027079725538
winter,20/60,50_50,Critical,2358608338.169566,3547,4.170394489258852,10.355795256453279,0.9959221076070887,10359878720.00407,22.766756271145223
summer,20/60,50_50,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,20/60,50_50,Low,1776022653.1332169,2563,1.0898576673505016,96.78783279755503,0.7310388193244025,10359878720.00407,17.14327649129583
summer,20/60,50_50,Moderate,3172453403.6692324,5050,2.296023562804167,61.88819137858295,0.6762463972885583,10359878720.00407,30.622495585237758
summer,20/60,50_50,High,2696109790.9882474,3683,3.8201687849626618,27.116300271751918,0.8386538916968769,10359878720.00407,26.02453043955314
summer,20/60,50_50,Critical,2711577803.8949523,4047,12.75137431383133,11.565248572055308,0.9901688496652644,10359878720.00407,26.173837331310835
winter,20/60,70_30,No exposure,104305783.65235786,128421,0.3528726262506431,271.89536975709484,0.002373325551476366,10359878720.00407,1.0068243699702006
winter,20/60,70_30,Low,4066201642.41402,5128,0.02010838303002922,89.44009133646622,0.818114401516915,10359878720.00407,39.249510079326704
winter,20/60,70_30,Moderate,1075387299.2265766,2643,0.7005314172534243,36.434183820580564,0.44243464251120124,10359878720.00407,10.380307803701335
winter,20/60,70_30,High,2942919208.865639,3995,0.2258840446796248,24.33778438555775,0.8758052612604817,10359878720.00407,28.40688861717179
winter,20/60,70_30,Critical,2171064785.8454776,3267,5.735055151118854,9.948229083984032,0.9962675396036693,10359878720.00407,20.956469129829973
summer,20/60,70_30,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,20/60,70_30,Low,1580586981.1834598,2466,1.1476712586456412,92.43320445598918,0.6797884861372797,10359878720.00407,15.256809697313125
summer,20/60,70_30,Moderate,3225464454.1548157,4951,1.7906003866731515,64.42329257939289,0.6897716324256667,10359878720.00407,31.134191251937246
summer,20/60,70_30,High,2635989138.3996935,3599,2.758715893111371,28.486001708372758,0.8427712921871977,10359878720.00407,25.444208466551025
summer,20/60,70_30,Critical,2914123077.94768,4327,13.515996082447757,12.787100682068797,0.9845437435671027,10359878720.00407,28.128930431596164
