season,depth_thresholds_m,weighting_scenario,exposure_class,natura_area_m2,number_of_grid_cells,mean_traffic,mean_depth_m,mean_natura_share,total_natura_area_m2,natura_area_percent
winter,10/50,30_70,No exposure,113451534.64298502,128434,0.3528368828472003,271.8733655234587,0.0024489056811785926,10359878720.00407,1.0951048531477445
winter,10/50,30_70,Low,5850606596.150142,8653,0.2878707599894401,67.56256129710768,0.7089722849440887,10359878720.00407,56.47369775529421
winter,10/50,30_70,Moderate,1898560143.0489345,2486,5.815983101916242,23.58414853307109,0.8711327961067961,10359878720.00407,18.3260846421201
winter,10/50,30_70,High,2480950611.2267427,3843,0.33025973259641866,10.00728210159032,0.981253827269364,10359878720.00407,23.94768006729878
winter,10/50,30_70,Critical,16309834.935266646,38,72.31963504916581,5.153429947195824,0.9795736633539884,10359878720.00407,0.15743268213916153
summer,10/50,30_70,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,10/50,30_70,Low,5855553004.035106,8837,2.451520703975549,68.39095528971342,0.7123341247276078,10359878720.00407,56.52144356408842
summer,10/50,30_70,Moderate,1856457445.1577358,2422,7.3811660887622725,24.311870412537626,0.864068926781334,10359878720.00407,17.919683186764242
summer,10/50,30_70,High,2488617996.4349966,3732,4.058275317919137,10.734029622972985,0.9778323342225568,10359878720.00407,24.021690443438114
summer,10/50,30_70,Critical,155535206.0578114,352,69.12971420288483,7.772866630928437,0.987870868607223,10359878720.00407,1.5013226531067954
winter,10/50,50_50,No exposure,113451534.64298502,128434,0.3528368828472003,271.8733655234587,0.0024489056811785926,10359878720.00407,1.0951048531477445
winter,10/50,50_50,Low,6579816107.866807,9639,0.25331415466784346,63.25026988826254,0.721129332442515,10359878720.00407,63.512482005814654
winter,10/50,50_50,Moderate,2871011549.5251884,3960,3.7292761596896766,16.481525049267276,0.9446733630903704,10359878720.00407,27.71279111580237
winter,10/50,50_50,High,792852103.0991087,1412,1.4306948442040877,4.273840013857227,0.9971231786074506,10359878720.00407,7.653102169701821
winter,10/50,50_50,Critical,2747424.869982185,9,215.44688142551215,4.925921589031001,0.9717209668137263,10359878720.00407,0.026519855533415987
summer,10/50,50_50,No exposure,3715068.318421891,128111,0.8792645850932573,272.0513714213496,2.9978615772429816e-4,10359878720.00407,0.03586015260244698
summer,10/50,50_50,Low,6395313303.853192,9566,2.098337988186125,65.00330180217301,0.7188534518735592,10359878720.00407,61.731546060518745
summer,10/50,50_50,Moderate,2709767076.660513,3523,5.971513139640283,18.918341855701136,0.9298926629583841,10359878720.00407,26.15635906459191
summer,10/50,50_50,High,1235569088.8950462,2211,11.070034786682086,7.113242891130924,0.990496953814695,10359878720.00407,11.926482175020682
summer,10/50,50_50,Critical,15514182.276897948,43,329.034019041544,7.491812500781818,0.9795274614288468,10359878720.00407,0.14975254726622758
winter,10/50,70_30,No exposure,113451534.64298502,128434,0.3528368828472003,271.8733655234587,0.0024489056811785926,10359878720.00407,1.0951048531477445
winter,10/50,70_30,Low,8490274660.279144,12067,0.20149858620264996,54.37082246040125,0.7616659225674897,10359878720.00407,81.95341750367334
winter,10/50,70_30,Moderate,1742649970.3795495,2917,0.7175729535666204,7.768732468873388,0.9883215706017772,10359878720.00407,16.821142577804856
winter,10/50,70_30,High,13493023.434251402,35,461.41536377443845,12.30140077127445,0.95997153153763215,10359878720.00407,0.13024306363932125
